Viewer_ID,Month_Year,Age_Group,Gender,Region,Channel_Watched,Anchor_Name,News_Category,Consumption_Frequency,News_Verdict,TRP_Score,Sensationalism_Score,Fake_Units_Consumed,Authentic_Units_Consumed,Sentiment_Score,Trust_Score,Knowledge_Accuracy_Pct
VWR0034,Feb-2024,18-25,Male,South,NDTV,Ravish Kumar,Politics,Occasional,Authentic,6.3,4.8,1,9,5.0,9.7,96.5
VWR0035,Jan-2025,18-25,Male,West,NDTV,Ravish Kumar,Politics,Daily,Fake,5.8,2.9,5,0,-1.36,5.8,43.5
VWR0036,Jun-2023,26-40,Male,South,Zee News/WION,Palki Sharma,Crime,Occasional,Authentic,6.1,5.9,0,4,2.9,9.0,82.4
VWR0037,Apr-2022,26-40,Female,North,Aaj Tak,Anjana Om Kashyap,Crime,Daily,Authentic,8.6,7.1,1,5,2.98,6.2,81.7
VWR0038,Aug-2023,18-25,Female,North,Republic TV,Arnab Goswami,Economy,Daily,Misleading,8.8,8.5,2,3,0.53,4.9,74.5
VWR0039,Dec-2025,26-40,Male,South,News18,Amish Devgan,Politics,Daily,Fake,6.7,6.7,8,1,-2.02,3.4,43.9
VWR0040,Jun-2025,26-40,Male,West,Times Now,Rahul Shivshankar,Crime,Daily,Authentic,7.4,6.1,0,7,4.19,8.0,81.2
VWR0041,Dec-2025,18-25,Female,East,Republic TV,Arnab Goswami,Crime,Weekly,Fake,8.8,8.2,5,0,-3.39,4.0,39.1
VWR0042,Apr-2025,26-40,Male,West,Times Now,Navika Kumar,Crime,Daily,Authentic,7.0,7.1,1,5,2.9,6.2,90.3
VWR0043,Jul-2023,41-60,Male,South,Republic TV,Arnab Goswami,Economy,Occasional,Authentic,8.3,9.3,0,5,3.54,7.0,89.6
VWR0044,Sep-2024,41-60,Female,South,NDTV,Ravish Kumar,Politics,Weekly,Authentic,5.9,3.8,1,6,5.0,8.4,87.1
VWR0045,Nov-2023,41-60,Female,North,Aaj Tak,Anjana Om Kashyap,Politics,Daily,Misleading,8.7,9.4,4,1,-0.69,3.3,58.9
VWR0046,Sep-2022,41-60,Male,West,News18,Amish Devgan,Health,Weekly,Fake,6.6,7.7,6,1,-0.97,4.5,53.6
VWR0047,Feb-2025,26-40,Male,Central,Aaj Tak,Anjana Om Kashyap,Politics,Occasional,Authentic,9.0,9.3,0,8,4.63,6.9,94.1
VWR0048,Sep-2025,18-25,Female,South,Times Now,Navika Kumar,Politics,Daily,Fake,7.7,6.7,9,1,-4.11,3.8,29.5
VWR0049,Sep-2025,26-40,Female,North,Times Now,Navika Kumar,Politics,Daily,Authentic,6.4,5.9,1,3,1.5,7.2,76.0
VWR0050,Jun-2023,41-60,Female,North,Aaj Tak,Anjana Om Kashyap,Politics,Daily,Fake,8.3,9.6,8,0,-5.0,3.3,32.8
VWR0051,Oct-2025,60+,Male,East,NDTV,Ravish Kumar,Crime,Daily,Misleading,5.4,3.0,3,1,0.53,7.1,68.9
VWR0052,Feb-2022,26-40,Female,East,Zee News/WION,Palki Sharma,Politics,Weekly,Misleading,6.0,4.3,1,1,2.06,6.6,76.8
VWR0053,Dec-2025,18-25,Female,West,NDTV,Ravish Kumar,Crime,Daily,Misleading,6.2,3.4,4,2,-0.74,5.7,63.1
VWR0054,May-2023,18-25,Female,North,NDTV,Ravish Kumar,Crime,Weekly,Fake,5.7,2.8,7,1,-0.42,5.3,30.3
VWR0055,Apr-2023,26-40,Female,West,Times Now,Navika Kumar,Crime,Weekly,Authentic,7.1,6.5,0,7,4.27,7.8,80.7
VWR0056,Oct-2025,26-40,Male,West,NDTV,Ravish Kumar,Economy,Weekly,Fake,4.8,3.8,6,1,-1.83,6.6,34.0
VWR0057,Sep-2025,18-25,Female,South,Republic TV,Arnab Goswami,Politics,Daily,Misleading,9.5,9.8,1,3,0.07,4.9,73.0
VWR0058,Dec-2025,60+,Male,East,Aaj Tak,Anjana Om Kashyap,Economy,Daily,Authentic,8.1,8.1,0,3,3.56,6.2,82.9
VWR0059,Dec-2023,26-40,Male,North,Republic TV,Arnab Goswami,Crime,Daily,Authentic,9.2,9.1,0,7,4.78,6.1,87.0
VWR0060,Jul-2024,60+,Female,South,Aaj Tak,Anjana Om Kashyap,Health,Daily,Authentic,8.8,9.7,0,7,3.39,6.9,84.3
VWR0061,Jan-2022,41-60,Female,Central,Times Now,Rahul Shivshankar,Crime,Occasional,Fake,8.2,7.6,8,1,-2.23,3.6,37.3
VWR0062,Apr-2024,41-60,Female,South,Aaj Tak,Anjana Om Kashyap,Crime,Daily,Authentic,8.0,10.0,0,7,3.48,6.5,83.2
VWR0063,Sep-2024,41-60,Male,West,Zee News/WION,Palki Sharma,Economy,Daily,Fake,5.0,5.9,4,0,-1.36,5.5,51.1
VWR0064,Jun-2025,41-60,Male,East,Times Now,Rahul Shivshankar,Economy,Daily,Misleading,7.6,8.1,4,3,-0.49,4.6,57.6
VWR0065,Jan-2025,41-60,Female,North,Aaj Tak,Anjana Om Kashyap,Politics,Weekly,Misleading,9.6,7.7,3,2,0.02,6.1,54.7
VWR0066,Mar-2025,41-60,Male,East,Times Now,Navika Kumar,Politics,Weekly,Authentic,7.8,7.4,0,7,3.85,7.0,90.4
VWR0067,Apr-2022,26-40,Female,East,Republic TV,Arnab Goswami,Crime,Weekly,Misleading,9.3,9.5,3,1,-0.55,5.2,63.6
VWR0068,Jan-2022,60+,Male,South,Zee News/WION,Palki Sharma,Economy,Daily,Authentic,6.3,4.6,1,7,5.0,7.1,73.3
VWR0069,Sep-2024,41-60,Female,North,Republic TV,Arnab Goswami,Politics,Daily,Misleading,9.6,9.6,1,1,2.3,4.9,65.8
VWR0070,Oct-2022,41-60,Male,South,NDTV,Ravish Kumar,Health,Weekly,Authentic,5.3,4.3,1,4,1.93,7.9,58.2
VWR0071,Mar-2022,41-60,Female,North,Zee News/WION,Palki Sharma,Health,Occasional,Authentic,6.7,5.4,0,7,4.94,8.0,87.5
VWR0072,Jan-2025,18-25,Female,North,Aaj Tak,Anjana Om Kashyap,Health,Weekly,Authentic,9.0,8.1,1,9,4.55,7.8,98.1
VWR0073,Sep-2025,18-25,Male,South,Republic TV,Arnab Goswami,Crime,Weekly,Fake,9.7,10.0,7,0,-2.93,2.5,45.2
VWR0074,Sep-2023,26-40,Female,South,Zee News/WION,Palki Sharma,Crime,Daily,Authentic,7.9,4.5,1,5,2.94,8.0,74.3
VWR0075,Sep-2022,26-40,Female,Central,News18,Amish Devgan,Economy,Daily,Fake,7.2,7.7,7,0,-2.45,3.7,32.7
VWR0076,Apr-2025,41-60,Female,South,News18,Amish Devgan,Crime,Weekly,Misleading,6.7,7.3,3,2,-0.81,6.8,58.2
VWR0077,Jul-2025,26-40,Female,West,Zee News/WION,Palki Sharma,Health,Daily,Fake,6.5,4.8,7,0,0.4,3.6,28.2
VWR0078,Dec-2023,26-40,Male,East,Republic TV,Arnab Goswami,Politics,Occasional,Authentic,8.3,10.0,1,5,2.43,5.9,79.8
VWR0079,Oct-2025,26-40,Male,West,Times Now,Rahul Shivshankar,Health,Daily,Authentic,7.2,6.4,1,9,5.0,7.9,84.5
VWR0080,Aug-2022,18-25,Male,North,Republic TV,Arnab Goswami,Politics,Daily,Fake,9.0,10.0,6,1,-3.24,3.4,49.0
VWR0081,Dec-2023,41-60,Male,Central,Zee News/WION,Palki Sharma,Politics,Weekly,Authentic,6.2,3.5,0,8,4.84,9.1,87.3
VWR0082,Dec-2023,41-60,Male,East,News18,Amish Devgan,Health,Daily,Authentic,7.1,7.0,1,8,2.98,7.5,86.4
VWR0083,Oct-2022,18-25,Female,West,Aaj Tak,Anjana Om Kashyap,Crime,Daily,Fake,8.3,9.1,5,1,-0.45,3.5,52.5
VWR0084,Nov-2024,26-40,Male,South,Republic TV,Arnab Goswami,Health,Daily,Authentic,9.8,10.0,0,7,2.76,7.1,94.6
VWR0085,Apr-2022,26-40,Male,North,Aaj Tak,Anjana Om Kashyap,Politics,Weekly,Fake,8.7,8.7,9,1,-3.89,2.7,37.2
VWR0086,Aug-2025,18-25,Male,East,Aaj Tak,Anjana Om Kashyap,Crime,Daily,Fake,8.7,8.8,3,0,-1.03,4.2,55.1
VWR0087,Sep-2022,18-25,Female,North,News18,Amish Devgan,Crime,Daily,Authentic,6.8,7.8,0,9,5.0,8.1,87.8
VWR0088,Nov-2022,60+,Female,South,News18,Amish Devgan,Crime,Weekly,Authentic,7.1,7.3,1,8,3.06,7.1,88.7
VWR0089,Jul-2025,26-40,Male,North,NDTV,Ravish Kumar,Politics,Daily,Misleading,6.2,4.6,4,1,0.52,6.1,51.1
VWR0090,Dec-2025,18-25,Female,East,Times Now,Navika Kumar,Health,Occasional,Misleading,6.8,7.5,4,3,1.15,4.6,56.1
VWR0091,Jan-2023,18-25,Male,Central,Republic TV,Arnab Goswami,Health,Daily,Fake,8.9,10.0,5,1,-2.33,3.9,49.1
VWR0092,Mar-2024,41-60,Other,South,News18,Amish Devgan,Politics,Weekly,Fake,6.8,6.7,8,0,-3.27,3.9,26.1
VWR0093,Jun-2024,41-60,Female,West,Zee News/WION,Palki Sharma,Politics,Daily,Authentic,5.8,4.9,0,5,4.27,7.7,82.2
VWR0094,Oct-2025,41-60,Male,East,Times Now,Navika Kumar,Health,Weekly,Fake,6.8,6.6,5,0,-1.37,3.7,42.6
VWR0095,Mar-2025,18-25,Female,South,Zee News/WION,Palki Sharma,Health,Weekly,Authentic,6.3,4.2,1,8,3.91,8.7,85.3
VWR0096,Dec-2022,60+,Female,Central,Times Now,Navika Kumar,Health,Occasional,Misleading,7.6,7.1,2,1,0.99,4.6,51.6
VWR0097,Jul-2023,26-40,Male,Central,Times Now,Navika Kumar,Health,Daily,Fake,7.3,6.4,6,1,-0.42,4.5,35.4
VWR0098,Apr-2025,26-40,Female,West,Times Now,Rahul Shivshankar,Politics,Daily,Fake,7.6,7.7,4,0,-0.03,4.9,59.7
VWR0099,Apr-2022,26-40,Male,South,Republic TV,Arnab Goswami,Politics,Weekly,Authentic,9.6,8.6,1,8,4.29,7.1,89.9
VWR0100,Oct-2024,26-40,Male,East,Republic TV,Arnab Goswami,Politics,Daily,Fake,9.1,10.0,8,0,-3.29,3.4,47.5
VWR0101,Nov-2023,41-60,Male,North,Republic TV,Arnab Goswami,Politics,Daily,Authentic,9.4,8.8,1,8,3.48,7.3,100.0
VWR0102,Sep-2025,60+,Male,South,News18,Amish Devgan,Health,Occasional,Authentic,6.9,7.7,0,3,1.58,6.7,85.3
VWR0103,Feb-2024,26-40,Male,South,Aaj Tak,Anjana Om Kashyap,Politics,Daily,Authentic,8.8,9.4,1,8,3.62,7.4,78.7
VWR0104,Jul-2022,41-60,Female,West,Times Now,Navika Kumar,Economy,Occasional,Fake,6.9,6.3,9,1,-1.45,4.8,43.8
VWR0105,Jun-2023,41-60,Male,Central,NDTV,Ravish Kumar,Health,Daily,Misleading,4.6,4.2,4,1,-0.51,4.9,51.5
VWR0106,Jun-2025,60+,Male,South,Aaj Tak,Anjana Om Kashyap,Economy,Weekly,Fake,8.6,7.8,5,1,-1.01,4.0,46.3
VWR0107,Apr-2022,18-25,Female,North,Times Now,Rahul Shivshankar,Economy,Weekly,Misleading,8.2,8.4,4,2,-0.18,4.7,52.6
VWR0108,Aug-2022,26-40,Female,West,Zee News/WION,Palki Sharma,Crime,Weekly,Authentic,7.0,5.0,0,8,4.8,9.2,90.2
VWR0109,Oct-2023,26-40,Other,North,Aaj Tak,Anjana Om Kashyap,Health,Occasional,Misleading,9.2,8.3,1,2,2.38,5.6,71.2
VWR0110,Feb-2024,41-60,Female,East,Republic TV,Arnab Goswami,Politics,Daily,Authentic,9.8,9.3,1,6,4.06,6.3,100.0
VWR0111,Jan-2023,18-25,Female,North,Aaj Tak,Anjana Om Kashyap,Politics,Occasional,Fake,8.7,9.4,6,0,-0.55,3.9,27.9
VWR0112,Oct-2025,26-40,Female,South,Republic TV,Arnab Goswami,Health,Weekly,Misleading,9.3,9.0,1,2,0.41,5.0,83.5
VWR0113,May-2023,26-40,Female,Central,NDTV,Ravish Kumar,Politics,Daily,Authentic,5.5,2.9,1,3,3.05,7.4,83.6
VWR0114,Aug-2025,26-40,Female,North,Zee News/WION,Palki Sharma,Economy,Occasional,Fake,6.3,4.8,5,0,-1.14,5.4,43.6
VWR0115,Dec-2024,41-60,Male,South,News18,Amish Devgan,Health,Daily,Fake,7.3,6.6,8,0,-3.77,5.4,29.0
VWR0116,May-2025,41-60,Male,South,NDTV,Ravish Kumar,Health,Weekly,Authentic,6.4,5.0,1,9,4.47,8.7,81.7
VWR0117,Nov-2025,41-60,Female,Central,Zee News/WION,Palki Sharma,Politics,Daily,Authentic,6.4,4.5,0,8,5.0,8.4,85.7
VWR0118,Mar-2023,41-60,Male,West,Aaj Tak,Anjana Om Kashyap,Health,Occasional,Authentic,8.5,9.5,1,4,1.48,5.2,70.1
VWR0119,Jun-2023,26-40,Male,North,NDTV,Ravish Kumar,Politics,Weekly,Authentic,5.8,3.7,1,5,2.68,7.7,77.7
VWR0120,Mar-2024,26-40,Female,North,Times Now,Navika Kumar,Health,Daily,Authentic,7.5,6.0,0,4,3.2,8.0,78.8
VWR0121,Jun-2022,26-40,Female,East,Zee News/WION,Palki Sharma,Politics,Weekly,Authentic,5.8,5.0,0,4,2.41,7.2,85.1
VWR0122,Oct-2024,18-25,Male,South,NDTV,Ravish Kumar,Health,Daily,Authentic,4.7,4.1,0,9,5.0,9.5,100.0
VWR0123,May-2025,26-40,Female,East,Aaj Tak,Anjana Om Kashyap,Politics,Daily,Fake,8.4,8.6,5,0,-1.68,3.7,46.9
VWR0124,May-2022,41-60,Female,North,Republic TV,Arnab Goswami,Politics,Daily,Misleading,8.6,10.0,3,2,-0.36,3.4,59.7
VWR0125,Dec-2022,26-40,Female,North,Aaj Tak,Anjana Om Kashyap,Crime,Daily,Fake,8.4,9.6,6,1,-2.48,3.2,53.6
VWR0126,May-2024,41-60,Female,West,Times Now,Rahul Shivshankar,Politics,Daily,Fake,7.4,7.9,4,0,0.17,2.5,55.7
VWR0127,Jan-2025,26-40,Female,North,Zee News/WION,Palki Sharma,Health,Weekly,Authentic,6.3,4.6,0,3,4.05,7.4,79.1
VWR0128,Dec-2022,18-25,Female,West,Zee News/WION,Palki Sharma,Politics,Daily,Authentic,7.2,4.1,1,7,4.35,8.8,82.3
VWR0129,Jan-2024,18-25,Male,North,Republic TV,Arnab Goswami,Politics,Weekly,Fake,9.4,9.0,3,0,-1.76,3.5,61.8
VWR0130,Nov-2025,26-40,Female,North,Times Now,Navika Kumar,Crime,Daily,Fake,7.4,7.0,8,0,-2.65,3.2,39.7
VWR0131,Oct-2024,26-40,Female,Central,Times Now,Rahul Shivshankar,Politics,Weekly,Authentic,7.8,7.6,1,7,5.0,6.3,83.5
VWR0132,Nov-2022,18-25,Female,South,Aaj Tak,Anjana Om Kashyap,Politics,Weekly,Misleading,8.1,7.1,2,2,1.97,4.1,48.7
VWR0133,Nov-2023,26-40,Female,West,Republic TV,Arnab Goswami,Health,Daily,Authentic,9.7,9.5,1,5,1.26,4.9,79.3
VWR0134,Dec-2023,26-40,Male,North,Aaj Tak,Anjana Om Kashyap,Politics,Occasional,Authentic,8.7,8.9,1,9,4.06,7.8,87.0
VWR0135,Jun-2023,26-40,Female,East,NDTV,Ravish Kumar,Politics,Weekly,Authentic,6.1,3.3,1,4,2.5,7.6,80.7
VWR0136,Oct-2022,41-60,Male,West,Aaj Tak,Anjana Om Kashyap,Politics,Weekly,Fake,8.2,9.8,8,1,-4.15,3.0,38.2
VWR0137,May-2022,41-60,Male,South,Times Now,Navika Kumar,Crime,Daily,Fake,6.4,7.1,5,0,-0.76,5.7,31.6
VWR0138,Jul-2024,26-40,Male,West,News18,Amish Devgan,Crime,Daily,Fake,7.4,8.5,8,1,-2.26,4.0,38.9
VWR0139,Jan-2024,41-60,Male,East,Times Now,Rahul Shivshankar,Politics,Occasional,Authentic,7.7,7.0,0,5,4.77,7.4,96.2
VWR0140,May-2023,41-60,Female,South,NDTV,Ravish Kumar,Health,Weekly,Fake,5.3,4.2,8,1,-1.75,4.5,35.3
VWR0141,Apr-2024,41-60,Male,East,NDTV,Ravish Kumar,Politics,Daily,Fake,5.4,4.8,3,0,-0.15,6.7,52.9
VWR0142,Jan-2022,26-40,Male,East,Aaj Tak,Anjana Om Kashyap,Crime,Daily,Authentic,9.3,9.8,1,9,4.19,7.9,89.8
VWR0143,Sep-2025,18-25,Female,North,Times Now,Navika Kumar,Politics,Weekly,Misleading,6.6,5.9,4,2,-0.7,6.2,56.6
VWR0144,Feb-2022,41-60,Male,South,Aaj Tak,Anjana Om Kashyap,Crime,Weekly,Misleading,9.5,8.6,1,3,2.68,5.6,83.8
VWR0145,Nov-2025,26-40,Male,South,Aaj Tak,Anjana Om Kashyap,Economy,Occasional,Authentic,8.2,8.5,1,4,1.46,5.3,83.4
VWR0146,Apr-2025,60+,Male,South,Republic TV,Arnab Goswami,Crime,Daily,Fake,9.5,9.9,4,0,-2.01,4.6,44.4
VWR0147,Feb-2022,41-60,Male,West,News18,Amish Devgan,Economy,Daily,Authentic,6.8,8.0,0,8,4.26,8.2,92.4
VWR0148,Mar-2024,26-40,Male,South,Times Now,Navika Kumar,Politics,Daily,Fake,7.5,6.1,7,1,-4.58,4.3,40.4
VWR0149,Aug-2022,26-40,Male,Central,Republic TV,Arnab Goswami,Politics,Daily,Authentic,8.9,9.6,0,8,4.87,6.8,96.3
VWR0150,Mar-2024,18-25,Female,South,Aaj Tak,Anjana Om Kashyap,Politics,Daily,Authentic,8.6,7.2,1,3,1.1,5.3,74.9
VWR0151,Jan-2025,26-40,Male,South,NDTV,Ravish Kumar,Politics,Occasional,Authentic,5.8,4.7,1,3,2.91,7.5,70.7
VWR0152,May-2023,26-40,Male,West,Aaj Tak,Anjana Om Kashyap,Politics,Weekly,Misleading,8.2,8.4,4,2,-0.84,4.8,46.0
VWR0153,Apr-2022,26-40,Female,East,Republic TV,Arnab Goswami,Politics,Occasional,Authentic,9.6,9.5,0,5,2.48,6.5,81.6
VWR0154,Aug-2025,26-40,Male,East,Times Now,Navika Kumar,Crime,Daily,Authentic,6.9,6.6,1,3,1.09,7.0,68.6
VWR0155,Feb-2025,18-25,Female,North,NDTV,Ravish Kumar,Politics,Daily,Fake,5.7,4.4,7,0,-1.12,5.2,29.8
VWR0156,Jul-2024,60+,Male,South,Aaj Tak,Anjana Om Kashyap,Politics,Daily,Misleading,8.2,6.5,3,3,2.19,5.3,69.8
VWR0157,May-2022,18-25,Male,North,News18,Amish Devgan,Politics,Daily,Fake,5.7,7.5,9,0,-3.15,3.1,29.2
VWR0158,Jan-2024,60+,Female,Central,Zee News/WION,Palki Sharma,Economy,Weekly,Misleading,6.4,4.9,2,1,1.08,6.4,52.2
VWR0159,Apr-2024,60+,Male,South,Aaj Tak,Anjana Om Kashyap,Politics,Daily,Fake,9.9,8.4,8,0,-3.47,3.4,48.8
VWR0160,Jul-2023,26-40,Male,Central,News18,Amish Devgan,Health,Daily,Fake,7.4,8.9,9,1,-2.91,1.8,35.8
VWR0161,Jan-2025,41-60,Female,East,Times Now,Rahul Shivshankar,Crime,Daily,Misleading,7.5,6.5,1,2,1.45,5.4,74.3
VWR0162,Jun-2025,26-40,Male,South,News18,Amish Devgan,Crime,Daily,Fake,6.9,8.1,3,0,0.28,4.9,61.4
VWR0163,Nov-2023,41-60,Female,East,News18,Amish Devgan,Politics,Weekly,Misleading,7.0,7.8,1,2,0.52,6.1,64.5
VWR0164,Dec-2024,26-40,Female,West,Times Now,Navika Kumar,Politics,Daily,Fake,7.5,7.8,8,0,-2.67,4.4,37.3
VWR0165,Sep-2025,26-40,Male,Central,Republic TV,Arnab Goswami,Crime,Weekly,Misleading,8.6,9.0,3,3,1.43,3.9,48.1
VWR0166,Jan-2023,26-40,Female,North,Zee News/WION,Palki Sharma,Politics,Weekly,Authentic,7.1,4.4,0,3,2.09,8.0,83.2
VWR0167,May-2023,26-40,Male,South,Aaj Tak,Anjana Om Kashyap,Politics,Daily,Authentic,9.1,9.7,1,8,2.94,7.0,88.5
VWR0168,Jun-2024,26-40,Other,South,Aaj Tak,Anjana Om Kashyap,Politics,Daily,Fake,9.1,9.1,8,0,-3.76,2.1,37.2
VWR0169,Nov-2023,26-40,Female,North,Republic TV,Arnab Goswami,Economy,Weekly,Fake,9.4,8.3,7,1,-2.22,2.4,39.9
VWR0170,Mar-2022,26-40,Female,East,Times Now,Navika Kumar,Crime,Weekly,Misleading,7.2,6.4,3,3,0.43,6.6,78.0
VWR0171,Jan-2023,18-25,Male,West,News18,Amish Devgan,Crime,Daily,Fake,7.3,7.8,9,0,-3.94,2.3,38.8
VWR0172,Aug-2024,18-25,Female,South,Republic TV,Arnab Goswami,Crime,Daily,Fake,9.5,10.0,8,0,-5.0,1.6,12.1
VWR0173,Sep-2025,26-40,Male,West,Times Now,Navika Kumar,Economy,Daily,Authentic,7.0,6.3,1,6,4.0,7.7,86.4
VWR0174,Nov-2024,18-25,Male,East,Aaj Tak,Anjana Om Kashyap,Crime,Daily,Authentic,8.4,6.5,0,7,5.0,7.8,87.2
VWR0175,Feb-2022,18-25,Female,South,News18,Amish Devgan,Crime,Daily,Fake,7.1,7.9,6,0,-1.16,4.1,45.7
VWR0176,Nov-2025,41-60,Male,North,Aaj Tak,Anjana Om Kashyap,Economy,Daily,Fake,9.5,7.8,3,1,0.2,5.1,61.1
VWR0177,Mar-2022,18-25,Female,West,News18,Amish Devgan,Health,Daily,Fake,6.4,5.9,3,0,-0.63,7.5,47.1
VWR0178,Dec-2025,41-60,Male,West,Times Now,Rahul Shivshankar,Politics,Daily,Misleading,6.8,4.9,2,3,0.96,7.2,66.6
VWR0179,May-2024,26-40,Female,West,NDTV,Ravish Kumar,Politics,Daily,Fake,5.9,4.2,5,1,-1.29,6.0,40.3
VWR0180,Oct-2022,41-60,Male,North,Republic TV,Arnab Goswami,Health,Occasional,Misleading,9.2,9.6,3,3,0.21,4.2,75.4
VWR0181,Aug-2023,26-40,Male,North,Times Now,Rahul Shivshankar,Health,Weekly,Fake,7.6,7.0,6,1,-2.43,5.4,47.1
VWR0182,Oct-2024,26-40,Male,North,Republic TV,Arnab Goswami,Crime,Occasional,Fake,9.3,10.0,7,1,-3.51,2.7,44.0
VWR0183,Mar-2023,26-40,Female,East,NDTV,Ravish Kumar,Crime,Daily,Authentic,5.7,4.0,1,5,3.37,7.2,80.9
